Index,Formula,Phase,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
124,MAPbI_2.5Br_0.5,Tetra,0.02,1.82,0.15,0,0,0,1,0,0,0,0,0,0,1,0,0.17,0.83,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.16,437,366.83,4.63,119.15,300,1031.67,7.35,19.87,2.71,50,4.83
125,MAPbI_2Br,Cubic,-0.01,1.87,0.15,0,0,0,1,0,0,0,0,0,0,1,0,0.33,0.67,1,0,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.12,416,346.67,4.33,111.3,305,1053.33,6.94,18.83,2.76,47,4.67
126,MAPbI_2Br,Tetra,-0.02,1.94,0.15,0,0,0,1,0,0,0,0,0,0,1,0,0.33,0.67,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.12,416,346.67,4.33,111.3,305,1053.33,6.94,18.83,2.76,47,4.67
127,MAPbI_1.5Br_1.5,Cubic,-0.04,1.9,0.14,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,1,0,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.08,395,326.5,4.03,103.45,310,1075,6.53,17.8,2.81,44,4.5
128,MAPbI_1.5Br_1.5,Tetra,-0.06,1.89,0.15,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.08,395,326.5,4.03,103.45,310,1075,6.53,17.8,2.81,44,4.5
129,MAPbIBr_2,Cubic,-0.07,1.95,0.14,0,0,0,1,0,0,0,0,0,0,1,0,0.67,0.33,1,0,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.04,374,306.33,3.72,95.6,315,1096.67,6.11,16.77,2.86,41,4.33
130,MAPbIBr_2,Tetra,-0.11,2.02,0.15,0,0,0,1,0,0,0,0,0,0,1,0,0.67,0.33,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.04,374,306.33,3.72,95.6,315,1096.67,6.11,16.77,2.86,41,4.33
131,CsPbI_2Br,Cubic,0.01,1.52,0.15,0,0,1,0,0,0,0,0,0,0,1,0,0.33,0.67,1,0,0,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.12,416,346.67,4.33,111.3,305,1053.33,6.94,18.83,2.76,47,4.67
132,CsPbI_2Br,Ortho,-0.08,1.68,0.14,0,0,1,0,0,0,0,0,0,0,1,0,0.33,0.67,0,0,1,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.12,416,346.67,4.33,111.3,305,1053.33,6.94,18.83,2.76,47,4.67
133,CsPbI_1.5Br_1.5,Cubic,-0.02,1.6,0.15,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,1,0,0,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.08,395,326.5,4.03,103.45,310,1075,6.53,17.8,2.81,44,4.5
134,CsPbI_1.5Br_1.5,Ortho,-0.11,1.82,0.13,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,1,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.08,395,326.5,4.03,103.45,310,1075,6.53,17.8,2.81,44,4.5
135,CsPbIBr_2,Cubic,-0.06,1.63,0.14,0,0,1,0,0,0,0,0,0,0,1,0,0.67,0.33,1,0,0,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.04,374,306.33,3.72,95.6,315,1096.67,6.11,16.77,2.86,41,4.33
136,CsPbIBr_2,Ortho,-0.15,1.87,0.13,0,0,1,0,0,0,0,0,0,0,1,0,0.67,0.33,0,0,1,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.19,2020,601,11.3,207,110,716,4.77,178,2.33,82,6,2.04,374,306.33,3.72,95.6,315,1096.67,6.11,16.77,2.86,41,4.33
137,CsSn_0.5Pb_0.5I_3,Cubic,-0.04,0.97,0.16,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,1,1,0,0,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.17,2450,553,9.3,163,115.5,712.5,5.98,234,2.15,66,5.5,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
138,CsSn_0.5Pb_0.5I_3,Ortho,-0.1,1.14,0.15,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,1,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.17,2450,553,9.3,163,115.5,712.5,5.98,234,2.15,66,5.5,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
139,CsSn_0.5Ge_0.5I_3,Cubic,1.51,0.56,0.16,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1,1,0,0,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.01,2995,857.5,6.31,95.8,120.5,735.5,19.5,312,1.98,41,4.5,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
140,CsSn_0.5Ge_0.5I_3,Ortho,1.51,0.71,0.16,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,1,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.01,2995,857.5,6.31,95.8,120.5,735.5,19.5,312,1.98,41,4.5,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
141,CsSn_0.75Ge_0.25Br_3,Cubic,-0.27,0.6,0.16,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0,1,0,0,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.08,2937.5,681.25,6.81,107.4,120.75,722.25,13.35,301,1.97,45.5,4.75,1.96,332,266,3.12,79.9,325,1140,5.29,14.7,2.96,35,4
142,CsSn_0.75Ge_0.25Br_3,Ortho,-0.29,0.78,0.15,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0,0,0,1,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.08,2937.5,681.25,6.81,107.4,120.75,722.25,13.35,301,1.97,45.5,4.75,1.96,332,266,3.12,79.9,325,1140,5.29,14.7,2.96,35,4
143,CsSn_0.5Ge_0.5Br_3,Cubic,-0.29,0.7,0.16,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,0,1,0,0,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.01,2995,857.5,6.31,95.8,120.5,735.5,19.5,312,1.98,41,4.5,1.96,332,266,3.12,79.9,325,1140,5.29,14.7,2.96,35,4
144,CsSn_0.5Ge_0.5Br_3,Ortho,-0.29,0.83,0.15,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,1,0,1.74,944,302,1.87,133,45.5,376,2.09,67.7,0.79,55,6,1.01,2995,857.5,6.31,95.8,120.5,735.5,19.5,312,1.98,41,4.5,1.96,332,266,3.12,79.9,325,1140,5.29,14.7,2.96,35,4
